id,propertyId,address,yearOfConstruction,ownerId,propertyType
1,9201,Panepistimiou 50,1995,18,DETACHED_HOUSE
2,8432,Ermou 12,2003,1,MAISONETTE
3,7854,Stadiou 7,1998,20,APARTMENT_BUILDING
4,6583,Mitropoleos 43,2005,5,APARTMENT_BUILDING
5,9132,Patission 100,1972,14,DETACHED_HOUSE
6,7800,Akadimias 20,1981,4,MAISONETTE
7,5321,Peiraios 15,2000,11,APARTMENT_BUILDING
8,4712,Voulis 36,1987,7,MAISONETTE
9,8143,Sokratous 8,1969,10,DETACHED_HOUSE
10,3921,Agias Sofias 10,2001,19,DETACHED_HOUSE
11,1342,Panormou 48,1988,6,APARTMENT_BUILDING
12,7329,Syntagmatos 7,2009,16,APARTMENT_BUILDING
13,5923,Lykavittou 4,2015,12,MAISONETTE
14,2487,Neas Smirnis 22,2010,8,DETACHED_HOUSE
15,9702,Korinthou 3,2007,3,MAISONETTE
16,8264,Karaiskaki 12,2004,9,APARTMENT_BUILDING
17,6145,Pallados 23,1985,17,APARTMENT_BUILDING
18,3498,Pireos 45,2012,2,DETACHED_HOUSE
19,4821,Veikou 20,1993,13,MAISONETTE
20,7210,Athinon 53,1996,15,DETACHED_HOUSE
